[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 96 -> 127.0.0.1:44886
[SERVER] bloco 97 -> 127.0.0.1:44888
[SERVER] bloco 97 -> 127.0.0.1:44898
[SERVER] bloco 98 -> 127.0.0.1:44910
[SERVER] bloco 98 -> 127.0.0.1:44912
[SERVER] bloco 99 -> 127.0.0.1:44924
[SERVER] bloco 99 -> 127.0.0.1:44938
[SERVER] bloco 100 -> 127.0.0.1:44954
[SERVER] bloco 100 -> 127.0.0.1:44960
[SERVER] bloco 101 -> 127.0.0.1:44968
[SERVER] bloco 101 -> 127.0.0.1:44984
[SERVER] bloco 102 -> 127.0.0.1:44988
[SERVER] bloco 102 -> 127.0.0.1:45002
[SERVER] bloco 103 -> 127.0.0.1:45012
[SERVER] bloco 103 -> 127.0.0.1:45018
[SERVER] bloco 104 -> 127.0.0.1:45022
[SERVER] bloco 104 -> 127.0.0.1:45036
[SERVER] bloco 105 -> 127.0.0.1:45046
[SERVER] bloco 105 -> 127.0.0.1:45052
[SERVER] bloco 106 -> 127.0.0.1:45054
[SERVER] bloco 106 -> 127.0.0.1:45058
[SERVER] bloco 107 -> 127.0.0.1:45062
[SERVER] bloco 107 -> 127.0.0.1:45064
[SERVER] bloco 108 -> 127.0.0.1:45074
[SERVER] bloco 108 -> 127.0.0.1:45076
[SERVER] bloco 109 -> 127.0.0.1:45082
[SERVER] bloco 109 -> 127.0.0.1:45088
[SERVER] bloco 110 -> 127.0.0.1:45094
[SERVER] bloco 110 -> 127.0.0.1:45104
[SERVER] bloco 111 -> 127.0.0.1:45110
[SERVER] bloco 111 -> 127.0.0.1:45116
[SERVER] bloco 112 -> 127.0.0.1:45130
[SERVER] bloco 112 -> 127.0.0.1:45146
[SERVER] bloco 113 -> 127.0.0.1:45150
[SERVER] bloco 113 -> 127.0.0.1:45164
[SERVER] bloco 114 -> 127.0.0.1:45168
[SERVER] bloco 114 -> 127.0.0.1:45174
[SERVER] bloco 115 -> 127.0.0.1:45184
[SERVER] bloco 115 -> 127.0.0.1:45200
[SERVER] bloco 116 -> 127.0.0.1:45210
[SERVER] bloco 116 -> 127.0.0.1:45218
[SERVER] bloco 117 -> 127.0.0.1:45226
[SERVER] bloco 117 -> 127.0.0.1:45234
[SERVER] bloco 118 -> 127.0.0.1:45238
[SERVER] bloco 118 -> 127.0.0.1:45248
[SERVER] bloco 119 -> 127.0.0.1:45262
[SERVER] bloco 119 -> 127.0.0.1:45268
[SERVER] bloco 120 -> 127.0.0.1:45278
[SERVER] bloco 120 -> 127.0.0.1:45294
[SERVER] bloco 121 -> 127.0.0.1:45308
[SERVER] bloco 121 -> 127.0.0.1:45324
[SERVER] bloco 122 -> 127.0.0.1:45340
[SERVER] bloco 122 -> 127.0.0.1:45346
[SERVER] bloco 123 -> 127.0.0.1:45360
[SERVER] bloco 123 -> 127.0.0.1:45362
[SERVER] bloco 124 -> 127.0.0.1:45374
[SERVER] bloco 124 -> 127.0.0.1:45382
[SERVER] bloco 125 -> 127.0.0.1:45386
[SERVER] bloco 125 -> 127.0.0.1:45392
