[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 224 -> 127.0.0.1:42926
[SERVER] bloco 225 -> 127.0.0.1:42942
[SERVER] bloco 226 -> 127.0.0.1:42954
[SERVER] bloco 227 -> 127.0.0.1:42966
[SERVER] bloco 228 -> 127.0.0.1:42980
[SERVER] bloco 229 -> 127.0.0.1:42984
[SERVER] bloco 230 -> 127.0.0.1:42992
[SERVER] bloco 231 -> 127.0.0.1:43008
[SERVER] bloco 232 -> 127.0.0.1:43012
[SERVER] bloco 233 -> 127.0.0.1:43014
[SERVER] bloco 234 -> 127.0.0.1:43030
[SERVER] bloco 235 -> 127.0.0.1:43032
[SERVER] bloco 236 -> 127.0.0.1:43048
[SERVER] bloco 237 -> 127.0.0.1:43058
[SERVER] bloco 238 -> 127.0.0.1:43072
[SERVER] bloco 239 -> 127.0.0.1:43082
[SERVER] bloco 240 -> 127.0.0.1:43086
[SERVER] bloco 241 -> 127.0.0.1:43092
[SERVER] bloco 242 -> 127.0.0.1:43106
[SERVER] bloco 243 -> 127.0.0.1:43110
[SERVER] bloco 244 -> 127.0.0.1:43122
[SERVER] bloco 245 -> 127.0.0.1:43138
[SERVER] bloco 246 -> 127.0.0.1:43144
[SERVER] bloco 247 -> 127.0.0.1:43146
[SERVER] bloco 248 -> 127.0.0.1:43160
[SERVER] bloco 249 -> 127.0.0.1:43174
[SERVER] bloco 250 -> 127.0.0.1:43186
[SERVER] bloco 251 -> 127.0.0.1:43190
[SERVER] bloco 252 -> 127.0.0.1:43198
[SERVER] bloco 253 -> 127.0.0.1:43212
[SERVER] bloco 254 -> 127.0.0.1:43218
[SERVER] bloco 255 -> 127.0.0.1:43234
[SERVER] bloco 0 -> 127.0.0.1:43246
[SERVER] bloco 0 -> 127.0.0.1:43242
[SERVER] bloco 1 -> 127.0.0.1:43252
[SERVER] bloco 1 -> 127.0.0.1:43266
[SERVER] bloco 2 -> 127.0.0.1:43276
[SERVER] bloco 2 -> 127.0.0.1:43290
[SERVER] bloco 3 -> 127.0.0.1:43292
[SERVER] bloco 3 -> 127.0.0.1:43298
[SERVER] bloco 4 -> 127.0.0.1:43304
[SERVER] bloco 4 -> 127.0.0.1:43310
[SERVER] bloco 5 -> 127.0.0.1:43316
[SERVER] bloco 5 -> 127.0.0.1:43328
[SERVER] bloco 6 -> 127.0.0.1:43336
[SERVER] bloco 6 -> 127.0.0.1:43352
[SERVER] bloco 7 -> 127.0.0.1:43366
[SERVER] bloco 7 -> 127.0.0.1:43368
[SERVER] bloco 8 -> 127.0.0.1:43376
[SERVER] bloco 8 -> 127.0.0.1:43380
[SERVER] bloco 9 -> 127.0.0.1:43382
[SERVER] bloco 9 -> 127.0.0.1:43390
[SERVER] bloco 10 -> 127.0.0.1:43396
[SERVER] bloco 10 -> 127.0.0.1:43408
[SERVER] bloco 11 -> 127.0.0.1:43412
[SERVER] bloco 11 -> 127.0.0.1:43414
[SERVER] bloco 12 -> 127.0.0.1:43422
[SERVER] bloco 12 -> 127.0.0.1:43432
[SERVER] bloco 13 -> 127.0.0.1:43442
[SERVER] bloco 13 -> 127.0.0.1:43456
[SERVER] bloco 14 -> 127.0.0.1:43466
[SERVER] bloco 14 -> 127.0.0.1:43468
[SERVER] bloco 15 -> 127.0.0.1:43470
[SERVER] bloco 15 -> 127.0.0.1:43482
[SERVER] bloco 16 -> 127.0.0.1:43484
[SERVER] bloco 16 -> 127.0.0.1:43490
[SERVER] bloco 17 -> 127.0.0.1:43498
[SERVER] bloco 17 -> 127.0.0.1:43512
[SERVER] bloco 18 -> 127.0.0.1:43520
[SERVER] bloco 18 -> 127.0.0.1:43530
[SERVER] bloco 19 -> 127.0.0.1:43532
[SERVER] bloco 19 -> 127.0.0.1:43536
[SERVER] bloco 20 -> 127.0.0.1:43540
[SERVER] bloco 20 -> 127.0.0.1:43552
[SERVER] bloco 21 -> 127.0.0.1:43568
[SERVER] bloco 21 -> 127.0.0.1:43574
[SERVER] bloco 22 -> 127.0.0.1:43588
[SERVER] bloco 22 -> 127.0.0.1:43596
[SERVER] bloco 23 -> 127.0.0.1:43606
[SERVER] bloco 23 -> 127.0.0.1:43620
