[META] fileB_5m.bin.meta.json: 5120 blocos x 1024 B  sha256=881141128a99c7b7...
[SEEDER] 5120 blocos carregados de 'fileB_5m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000 (select/non-blocking)
[SERVER] nova conexao: 127.0.0.1:48040
[SERVER] bloco 242 -> 127.0.0.1:48040
[SERVER] bloco 243 -> 127.0.0.1:48040
[SERVER] bloco 244 -> 127.0.0.1:48040
[SERVER] bloco 245 -> 127.0.0.1:48040
[SERVER] bloco 246 -> 127.0.0.1:48040
[SERVER] bloco 247 -> 127.0.0.1:48040
[SERVER] bloco 248 -> 127.0.0.1:48040
[SERVER] bloco 249 -> 127.0.0.1:48040
[SERVER] bloco 250 -> 127.0.0.1:48040
[SERVER] bloco 251 -> 127.0.0.1:48040
[SERVER] bloco 252 -> 127.0.0.1:48040
[SERVER] bloco 253 -> 127.0.0.1:48040
[SERVER] bloco 254 -> 127.0.0.1:48040
[SERVER] bloco 255 -> 127.0.0.1:48040
[SERVER] bloco 256 -> 127.0.0.1:48040
[SERVER] bloco 257 -> 127.0.0.1:48040
[SERVER] bloco 258 -> 127.0.0.1:48040
[SERVER] bloco 259 -> 127.0.0.1:48040
[SERVER] bloco 260 -> 127.0.0.1:48040
[SERVER] bloco 261 -> 127.0.0.1:48040
[SERVER] bloco 262 -> 127.0.0.1:48040
[SERVER] bloco 263 -> 127.0.0.1:48040
[SERVER] bloco 264 -> 127.0.0.1:48040
[SERVER] bloco 265 -> 127.0.0.1:48040
[SERVER] bloco 266 -> 127.0.0.1:48040
[SERVER] bloco 267 -> 127.0.0.1:48040
[SERVER] bloco 268 -> 127.0.0.1:48040
[SERVER] bloco 269 -> 127.0.0.1:48040
[SERVER] bloco 270 -> 127.0.0.1:48040
[SERVER] bloco 271 -> 127.0.0.1:48040
[SERVER] bloco 272 -> 127.0.0.1:48040
[SERVER] bloco 273 -> 127.0.0.1:48040
[SERVER] bloco 274 -> 127.0.0.1:48040
[SERVER] bloco 275 -> 127.0.0.1:48040
[SERVER] bloco 276 -> 127.0.0.1:48040
[SERVER] bloco 277 -> 127.0.0.1:48040
[SERVER] bloco 278 -> 127.0.0.1:48040
[SERVER] bloco 279 -> 127.0.0.1:48040
[SERVER] bloco 280 -> 127.0.0.1:48040
[SERVER] bloco 281 -> 127.0.0.1:48040
[SERVER] bloco 282 -> 127.0.0.1:48040
[SERVER] bloco 283 -> 127.0.0.1:48040
[SERVER] bloco 284 -> 127.0.0.1:48040
[SERVER] bloco 285 -> 127.0.0.1:48040
[SERVER] bloco 286 -> 127.0.0.1:48040
[SERVER] bloco 287 -> 127.0.0.1:48040
[SERVER] bloco 288 -> 127.0.0.1:48040
[SERVER] bloco 289 -> 127.0.0.1:48040
[SERVER] bloco 290 -> 127.0.0.1:48040
[SERVER] bloco 291 -> 127.0.0.1:48040
[SERVER] bloco 292 -> 127.0.0.1:48040
[SERVER] bloco 293 -> 127.0.0.1:48040
[SERVER] bloco 294 -> 127.0.0.1:48040
[SERVER] bloco 295 -> 127.0.0.1:48040
[SERVER] bloco 296 -> 127.0.0.1:48040
[SERVER] bloco 297 -> 127.0.0.1:48040
[SERVER] bloco 298 -> 127.0.0.1:48040
[SERVER] bloco 299 -> 127.0.0.1:48040
[SERVER] bloco 300 -> 127.0.0.1:48040
[SERVER] bloco 301 -> 127.0.0.1:48040
[SERVER] bloco 302 -> 127.0.0.1:48040
[SERVER] bloco 303 -> 127.0.0.1:48040
[SERVER] bloco 304 -> 127.0.0.1:48040
[SERVER] bloco 305 -> 127.0.0.1:48040
[SERVER] bloco 306 -> 127.0.0.1:48040
[SERVER] bloco 307 -> 127.0.0.1:48040
[SERVER] bloco 308 -> 127.0.0.1:48040
[SERVER] bloco 309 -> 127.0.0.1:48040
[SERVER] bloco 310 -> 127.0.0.1:48040
[SERVER] bloco 311 -> 127.0.0.1:48040
[SERVER] bloco 312 -> 127.0.0.1:48040
[SERVER] bloco 313 -> 127.0.0.1:48040
[SERVER] bloco 314 -> 127.0.0.1:48040
[SERVER] bloco 315 -> 127.0.0.1:48040
[SERVER] bloco 316 -> 127.0.0.1:48040
[SERVER] bloco 317 -> 127.0.0.1:48040
[SERVER] bloco 318 -> 127.0.0.1:48040
[SERVER] bloco 319 -> 127.0.0.1:48040
[SERVER] bloco 320 -> 127.0.0.1:48040
[SERVER] bloco 321 -> 127.0.0.1:48040
[SERVER] bloco 322 -> 127.0.0.1:48040
[SERVER] bloco 323 -> 127.0.0.1:48040
[SERVER] bloco 324 -> 127.0.0.1:48040
[SERVER] bloco 325 -> 127.0.0.1:48040
[SERVER] bloco 326 -> 127.0.0.1:48040
[SERVER] bloco 327 -> 127.0.0.1:48040
[SERVER] bloco 328 -> 127.0.0.1:48040
[SERVER] bloco 329 -> 127.0.0.1:48040
[SERVER] bloco 330 -> 127.0.0.1:48040
[SERVER] bloco 331 -> 127.0.0.1:48040
[SERVER] bloco 332 -> 127.0.0.1:48040
[SERVER] bloco 333 -> 127.0.0.1:48040
[SERVER] bloco 334 -> 127.0.0.1:48040
[SERVER] bloco 335 -> 127.0.0.1:48040
[SERVER] bloco 336 -> 127.0.0.1:48040
[SERVER] bloco 337 -> 127.0.0.1:48040
[SERVER] bloco 338 -> 127.0.0.1:48040
[SERVER] bloco 339 -> 127.0.0.1:48040
[SERVER] bloco 340 -> 127.0.0.1:48040
[SERVER] bloco 341 -> 127.0.0.1:48040
[SERVER] bloco 342 -> 127.0.0.1:48040
[SERVER] bloco 343 -> 127.0.0.1:48040
[SERVER] bloco 344 -> 127.0.0.1:48040
[SERVER] bloco 345 -> 127.0.0.1:48040
[SERVER] bloco 346 -> 127.0.0.1:48040
[SERVER] bloco 347 -> 127.0.0.1:48040
[SERVER] bloco 348 -> 127.0.0.1:48040
[SERVER] bloco 349 -> 127.0.0.1:48040
[SERVER] bloco 350 -> 127.0.0.1:48040
[SERVER] bloco 351 -> 127.0.0.1:48040
[SERVER] bloco 352 -> 127.0.0.1:48040
[SERVER] bloco 353 -> 127.0.0.1:48040
[SERVER] bloco 354 -> 127.0.0.1:48040
[SERVER] bloco 355 -> 127.0.0.1:48040
[SERVER] bloco 356 -> 127.0.0.1:48040
[SERVER] bloco 357 -> 127.0.0.1:48040
[SERVER] bloco 358 -> 127.0.0.1:48040
[SERVER] bloco 359 -> 127.0.0.1:48040
[SERVER] bloco 360 -> 127.0.0.1:48040
[SERVER] bloco 361 -> 127.0.0.1:48040
[SERVER] bloco 362 -> 127.0.0.1:48040
[SERVER] bloco 363 -> 127.0.0.1:48040
[SERVER] bloco 364 -> 127.0.0.1:48040
[SERVER] bloco 365 -> 127.0.0.1:48040
[SERVER] bloco 366 -> 127.0.0.1:48040
[SERVER] bloco 367 -> 127.0.0.1:48040
[SERVER] bloco 368 -> 127.0.0.1:48040
[SERVER] bloco 369 -> 127.0.0.1:48040
[SERVER] bloco 370 -> 127.0.0.1:48040
[SERVER] bloco 371 -> 127.0.0.1:48040
[SERVER] bloco 372 -> 127.0.0.1:48040
[SERVER] bloco 373 -> 127.0.0.1:48040
[SERVER] bloco 374 -> 127.0.0.1:48040
[SERVER] bloco 375 -> 127.0.0.1:48040
[SERVER] bloco 376 -> 127.0.0.1:48040
[SERVER] bloco 377 -> 127.0.0.1:48040
[SERVER] bloco 378 -> 127.0.0.1:48040
[SERVER] bloco 379 -> 127.0.0.1:48040
[SERVER] bloco 380 -> 127.0.0.1:48040
[SERVER] bloco 381 -> 127.0.0.1:48040
[SERVER] bloco 382 -> 127.0.0.1:48040
[SERVER] bloco 383 -> 127.0.0.1:48040
[SERVER] bloco 384 -> 127.0.0.1:48040
[SERVER] bloco 385 -> 127.0.0.1:48040
[SERVER] bloco 386 -> 127.0.0.1:48040
[SERVER] bloco 387 -> 127.0.0.1:48040
[SERVER] bloco 388 -> 127.0.0.1:48040
[SERVER] bloco 389 -> 127.0.0.1:48040
[SERVER] bloco 390 -> 127.0.0.1:48040
[SERVER] bloco 391 -> 127.0.0.1:48040
[SERVER] bloco 392 -> 127.0.0.1:48040
[SERVER] bloco 393 -> 127.0.0.1:48040
[SERVER] bloco 394 -> 127.0.0.1:48040
[SERVER] bloco 395 -> 127.0.0.1:48040
[SERVER] bloco 396 -> 127.0.0.1:48040
[SERVER] bloco 397 -> 127.0.0.1:48040
[SERVER] bloco 398 -> 127.0.0.1:48040
[SERVER] bloco 399 -> 127.0.0.1:48040
[SERVER] bloco 400 -> 127.0.0.1:48040
[SERVER] bloco 401 -> 127.0.0.1:48040
[SERVER] bloco 402 -> 127.0.0.1:48040
[SERVER] bloco 403 -> 127.0.0.1:48040
[SERVER] bloco 404 -> 127.0.0.1:48040
[SERVER] bloco 405 -> 127.0.0.1:48040
[SERVER] bloco 406 -> 127.0.0.1:48040
[SERVER] bloco 407 -> 127.0.0.1:48040
[SERVER] bloco 408 -> 127.0.0.1:48040
[SERVER] bloco 409 -> 127.0.0.1:48040
[SERVER] bloco 410 -> 127.0.0.1:48040
[SERVER] bloco 411 -> 127.0.0.1:48040
[SERVER] bloco 412 -> 127.0.0.1:48040
[SERVER] bloco 413 -> 127.0.0.1:48040
[SERVER] bloco 414 -> 127.0.0.1:48040
[SERVER] bloco 415 -> 127.0.0.1:48040
[SERVER] bloco 416 -> 127.0.0.1:48040
[SERVER] bloco 417 -> 127.0.0.1:48040
[SERVER] bloco 418 -> 127.0.0.1:48040
[SERVER] bloco 419 -> 127.0.0.1:48040
[SERVER] bloco 420 -> 127.0.0.1:48040
[SERVER] bloco 421 -> 127.0.0.1:48040
[SERVER] bloco 422 -> 127.0.0.1:48040
[SERVER] bloco 423 -> 127.0.0.1:48040
[SERVER] bloco 424 -> 127.0.0.1:48040
[SERVER] bloco 425 -> 127.0.0.1:48040
[SERVER] bloco 426 -> 127.0.0.1:48040
[SERVER] bloco 427 -> 127.0.0.1:48040
[SERVER] bloco 428 -> 127.0.0.1:48040
[SERVER] bloco 429 -> 127.0.0.1:48040
[SERVER] bloco 430 -> 127.0.0.1:48040
[SERVER] bloco 431 -> 127.0.0.1:48040
[SERVER] bloco 432 -> 127.0.0.1:48040
[SERVER] bloco 433 -> 127.0.0.1:48040
[SERVER] bloco 434 -> 127.0.0.1:48040
[SERVER] bloco 435 -> 127.0.0.1:48040
[SERVER] bloco 436 -> 127.0.0.1:48040
[SERVER] bloco 437 -> 127.0.0.1:48040
[SERVER] bloco 438 -> 127.0.0.1:48040
[SERVER] bloco 439 -> 127.0.0.1:48040
[SERVER] bloco 440 -> 127.0.0.1:48040
[SERVER] bloco 441 -> 127.0.0.1:48040
[SERVER] bloco 442 -> 127.0.0.1:48040
[SERVER] bloco 443 -> 127.0.0.1:48040
[SERVER] bloco 444 -> 127.0.0.1:48040
[SERVER] bloco 445 -> 127.0.0.1:48040
[SERVER] bloco 446 -> 127.0.0.1:48040
[SERVER] bloco 447 -> 127.0.0.1:48040
[SERVER] bloco 448 -> 127.0.0.1:48040
[SERVER] bloco 449 -> 127.0.0.1:48040
[SERVER] bloco 450 -> 127.0.0.1:48040
[SERVER] bloco 451 -> 127.0.0.1:48040
[SERVER] bloco 452 -> 127.0.0.1:48040
[SERVER] bloco 453 -> 127.0.0.1:48040
[SERVER] bloco 454 -> 127.0.0.1:48040
[SERVER] bloco 455 -> 127.0.0.1:48040
[SERVER] bloco 456 -> 127.0.0.1:48040
[SERVER] bloco 457 -> 127.0.0.1:48040
[SERVER] bloco 458 -> 127.0.0.1:48040
[SERVER] bloco 459 -> 127.0.0.1:48040
[SERVER] bloco 460 -> 127.0.0.1:48040
[SERVER] bloco 461 -> 127.0.0.1:48040
[SERVER] bloco 462 -> 127.0.0.1:48040
[SERVER] bloco 463 -> 127.0.0.1:48040
[SERVER] bloco 464 -> 127.0.0.1:48040
[SERVER] bloco 465 -> 127.0.0.1:48040
[SERVER] bloco 466 -> 127.0.0.1:48040
[SERVER] bloco 467 -> 127.0.0.1:48040
[SERVER] bloco 468 -> 127.0.0.1:48040
[SERVER] bloco 469 -> 127.0.0.1:48040
[SERVER] bloco 470 -> 127.0.0.1:48040
[SERVER] bloco 471 -> 127.0.0.1:48040
[SERVER] bloco 472 -> 127.0.0.1:48040
[SERVER] bloco 473 -> 127.0.0.1:48040
[SERVER] bloco 474 -> 127.0.0.1:48040
[SERVER] bloco 475 -> 127.0.0.1:48040
[SERVER] bloco 476 -> 127.0.0.1:48040
[SERVER] bloco 477 -> 127.0.0.1:48040
[SERVER] bloco 478 -> 127.0.0.1:48040
[SERVER] bloco 479 -> 127.0.0.1:48040
[SERVER] bloco 480 -> 127.0.0.1:48040
[SERVER] bloco 481 -> 127.0.0.1:48040
[SERVER] bloco 482 -> 127.0.0.1:48040
[SERVER] bloco 483 -> 127.0.0.1:48040
[SERVER] bloco 484 -> 127.0.0.1:48040
[SERVER] bloco 485 -> 127.0.0.1:48040
[SERVER] bloco 486 -> 127.0.0.1:48040
[SERVER] bloco 487 -> 127.0.0.1:48040
[SERVER] bloco 488 -> 127.0.0.1:48040
[SERVER] bloco 489 -> 127.0.0.1:48040
[SERVER] bloco 490 -> 127.0.0.1:48040
[SERVER] bloco 491 -> 127.0.0.1:48040
[SERVER] bloco 492 -> 127.0.0.1:48040
[SERVER] bloco 493 -> 127.0.0.1:48040
[SERVER] bloco 494 -> 127.0.0.1:48040
[SERVER] bloco 495 -> 127.0.0.1:48040
[SERVER] bloco 496 -> 127.0.0.1:48040
[SERVER] bloco 497 -> 127.0.0.1:48040
[SERVER] bloco 498 -> 127.0.0.1:48040
[SERVER] bloco 499 -> 127.0.0.1:48040
[SERVER] bloco 500 -> 127.0.0.1:48040
[SERVER] bloco 501 -> 127.0.0.1:48040
[SERVER] bloco 502 -> 127.0.0.1:48040
[SERVER] bloco 503 -> 127.0.0.1:48040
[SERVER] bloco 504 -> 127.0.0.1:48040
[SERVER] bloco 505 -> 127.0.0.1:48040
[SERVER] bloco 506 -> 127.0.0.1:48040
[SERVER] bloco 507 -> 127.0.0.1:48040
[SERVER] bloco 508 -> 127.0.0.1:48040
[SERVER] bloco 509 -> 127.0.0.1:48040
[SERVER] bloco 510 -> 127.0.0.1:48040
[SERVER] bloco 511 -> 127.0.0.1:48040
[SERVER] bloco 512 -> 127.0.0.1:48040
[SERVER] bloco 513 -> 127.0.0.1:48040
[SERVER] bloco 514 -> 127.0.0.1:48040
[SERVER] bloco 515 -> 127.0.0.1:48040
[SERVER] bloco 516 -> 127.0.0.1:48040
[SERVER] bloco 517 -> 127.0.0.1:48040
[SERVER] bloco 518 -> 127.0.0.1:48040
