[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=a8d923f027ed0245...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 396 -> 127.0.0.1:33194
[SERVER] bloco 397 -> 127.0.0.1:33198
[SERVER] bloco 398 -> 127.0.0.1:33210
[SERVER] bloco 399 -> 127.0.0.1:33220
[SERVER] bloco 400 -> 127.0.0.1:33222
[SERVER] bloco 401 -> 127.0.0.1:33234
[SERVER] bloco 402 -> 127.0.0.1:33236
[SERVER] bloco 403 -> 127.0.0.1:33246
[SERVER] bloco 404 -> 127.0.0.1:33248
[SERVER] bloco 405 -> 127.0.0.1:33250
[SERVER] bloco 406 -> 127.0.0.1:33252
[SERVER] bloco 407 -> 127.0.0.1:33256
[SERVER] bloco 408 -> 127.0.0.1:33266
[SERVER] bloco 409 -> 127.0.0.1:33274
[SERVER] bloco 410 -> 127.0.0.1:33286
[SERVER] bloco 411 -> 127.0.0.1:33290
[SERVER] bloco 412 -> 127.0.0.1:33298
[SERVER] bloco 413 -> 127.0.0.1:33304
[SERVER] bloco 414 -> 127.0.0.1:33316
[SERVER] bloco 415 -> 127.0.0.1:33318
[SERVER] bloco 416 -> 127.0.0.1:33334
[SERVER] bloco 417 -> 127.0.0.1:33346
[SERVER] bloco 418 -> 127.0.0.1:33354
[SERVER] bloco 419 -> 127.0.0.1:33356
[SERVER] bloco 420 -> 127.0.0.1:33360
[SERVER] bloco 421 -> 127.0.0.1:33376
[SERVER] bloco 422 -> 127.0.0.1:33386
[SERVER] bloco 423 -> 127.0.0.1:33388
[SERVER] bloco 424 -> 127.0.0.1:33404
[SERVER] bloco 425 -> 127.0.0.1:33414
[SERVER] bloco 426 -> 127.0.0.1:33424
[SERVER] bloco 427 -> 127.0.0.1:33440
[SERVER] bloco 428 -> 127.0.0.1:33450
[SERVER] bloco 429 -> 127.0.0.1:33464
